merchant,awinmid,geo,category,fits,homepage
VELTRA,89081,global,tours & activities,"Japan/Asia itineraries, day trips, seasonal guides",https://www.veltra.com/en/
NOMATIC.com,90033,US,premium bags & travel gear,"packing, EDC, carry-on, capsule",https://nomatic.com/
USIMS,121892,US,travel SIM & data,"eSIM/connectivity (secondary to Airalo/Saily)",https://www.usims.com/
SamBoat UK,32677,UK,boat charter,charter-a-boat (UK),https://www.samboat.co.uk/
SamBoat IT,32681,IT,boat charter,charter-a-boat (Italy),https://www.samboat.it/
Eventfloss Berlin DE,27722,DE,Berlin events,"no fitting content yet — parked",https://www.eventfloss.com/
